"departamento","time","dec_pbc","dec_cc","dec_mar","t_iqf","t_iqnf","inc_sol","inc_usd","inc_act","int_tra","int_mic","int_con","det_tra","det_mic","det_con","dec_pbc100","dec_cc100","dec_mar100","t_iqf100","t_iqnf100","inc_sol100","inc_usd100","inc_act100","int_tra100","int_mic100","int_con100","det_tra100","det_mic100","det_con100","pob"
"amazonas","2012","13.71","29.99","3.85","0.00","0.00","0.00","0.00","1.00","21.00","12.00","20.00","30.00","19.00","24.00","3.27","7.15","0.92","0.00","0.00","0.00","0.00","0.24","5.01","2.86","4.77","7.15","4.53","5.72","419467.20"
"amazonas","2013","74.95","0.00","50.42","0.00","0.00","0.00","290680.00","1.00","20.00","11.00","10.00","17.00","22.00","12.00","17.82","0.00","11.99","0.00","0.00","0.00","69124.19","0.24","4.76","2.62","2.38","4.04","5.23","2.85","420518.50"
"amazonas","2014","8.64","3.61","29.81","0.00","0.00","0.00","526000.00","0.00","20.00","25.00","45.00","19.00","21.00","47.00","2.05","0.86","7.07","0.00","0.00","0.00","124770.97","0.00","4.74","5.93","10.67","4.51","4.98","11.15","421572.43"
"amazonas","2015","13.70","22.73","11.55","444.00","400.00","200.00","0.00","0.00","27.00","32.00","36.00","34.00","30.00","31.00","3.24","5.38","2.73","105.06","94.65","47.32","0.00","0.00","6.39","7.57","8.52","8.04","7.10","7.34","422629.00"
"amazonas","2016","29.45","0.00","2.63","0.00","158.00","71100.00","0.00","5.00","33.00","20.00","11.00","45.00","23.00","7.00","6.95","0.00","0.62","0.00","37.27","16772.90","0.00","1.18","7.78","4.72","2.59","10.62","5.43","1.65","423898.00"
"amazonas","2017","30.14","0.00","2.78","0.00","0.00","0.00","0.00","308.00","12.00","17.00","13.00","12.00","17.00","13.00","7.09","0.00","0.65","0.00","0.00","0.00","0.00","72.48","2.82","4.00","3.06","2.82","4.00","3.06","424952.00"
"amazonas","2018","22.71","0.00","20.89","0.00","0.00","0.00","0.00","7.00","39.00","36.00","44.00","57.00","42.00","43.00","5.33","0.00","4.91","0.00","0.00","0.00","0.00","1.64","9.16","8.45","10.33","13.39","9.86","10.10","425829.00"
"amazonas","2019","26.19","0.16","7.27","880.00","302.00","130.00","0.00","4.00","28.00","25.00","31.00","35.00","26.00","33.00","6.13","0.04","1.70","206.07","70.72","30.44","0.00","0.94","6.56","5.85","7.26","8.20","6.09","7.73","427041.00"
"amazonas","2020","68.36","0.02","2.94","0.00","0.00","0.00","0.00","1.00","20.00","24.00","40.00","27.00","29.00","35.00","16.02","0.01","0.69","0.00","0.00","0.00","0.00","0.23","4.69","5.62","9.37","6.33","6.79","8.20","426806.00"
"amazonas","2021","244.56","27.99","26.03","0.00","0.00","0.00","0.00","1.00","40.00","24.00","12.00","40.00","24.00","12.00","57.07","6.53","6.07","0.00","0.00","0.00","0.00","0.23","9.33","5.60","2.80","9.33","5.60","2.80","428512.00"
"amazonas","2022","2032.74","409.76","1.74","46674.00","255.00","569587.00","210.00","25.00","72.00","26.00","13.00","68.00","23.00","8.00","473.30","95.41","0.41","10867.48","59.37","132621.55","48.90","5.82","16.76","6.05","3.03","15.83","5.36","1.86","429483.00"
"ancash","2012","53.93","50.34","447.41","2370.03","0.00","0.00","0.00","1.00","43.00","42.00","130.00","51.00","63.00","139.00","4.77","4.45","39.54","209.46","0.00","0.00","0.00","0.09","3.80","3.71","11.49","4.51","5.57","12.28","1131490.49"
"ancash","2013","0.54","0.07","219.52","59000.00","0.00","0.00","0.00","0.00","45.00","23.00","93.00","48.00","27.00","113.00","0.05","0.01","19.30","5188.29","0.00","0.00","0.00","0.00","3.96","2.02","8.18","4.22","2.37","9.94","1137176.38"
"ancash","2014","32.86","0.12","294.90","59000.00","0.00","3433.50","0.00","0.00","78.00","73.00","139.00","67.00","79.00","140.00","2.88","0.01","25.80","5162.35","0.00","300.42","0.00","0.00","6.82","6.39","12.16","5.86","6.91","12.25","1142890.83"
"ancash","2015","36.95","22.14","186.31","707695.00","0.00","150.00","0.00","4.00","115.00","130.00","238.00","131.00","160.00","279.00","3.22","1.93","16.22","61611.88","0.00","13.06","0.00","0.35","10.01","11.32","20.72","11.40","13.93","24.29","1148634.00"
"ancash","2016","21.41","6.00","398.81","270569.00","0.00","0.00","0.00","6.00","186.00","182.00","264.00","254.00","239.00","301.00","1.85","0.52","34.54","23433.21","0.00","0.00","0.00","0.52","16.11","15.76","22.86","22.00","20.70","26.07","1154639.00"
"ancash","2017","14.99","0.09","447.56","937.30","0.00","0.00","0.00","0.00","100.00","147.00","220.00","100.00","147.00","220.00","1.29","0.01","38.57","80.77","0.00","0.00","0.00","0.00","8.62","12.67","18.96","8.62","12.67","18.96","1160490.00"
"ancash","2018","442.94","1.16","276.26","37316.87","0.00","14676.30","0.00","3.00","137.00","167.00","232.00","154.00","195.00","246.00","37.98","0.10","23.69","3199.92","0.00","1258.49","0.00","0.26","11.75","14.32","19.89","13.21","16.72","21.09","1166182.00"
"ancash","2019","220.03","32.05","265.41","15796736.00","0.00","122.50","880.00","4.00","132.00","114.00","197.00","144.00","127.00","213.00","18.78","2.74","22.65","1348125.04","0.00","10.45","75.10","0.34","11.27","9.73","16.81","12.29","10.84","18.18","1171756.00"
"ancash","2020","15.08","5.02","120.92","14049.91","0.00","0.00","0.00","13.00","72.00","93.00","125.00","94.00","125.00","132.00","1.28","0.42","10.24","1190.03","0.00","0.00","0.00","1.10","6.10","7.88","10.59","7.96","10.59","11.18","1180638.00"
"ancash","2021","10.51","0.15","520.96","18000000.00","0.00","0.00","0.00","1.00","81.00","197.00","204.00","81.00","197.00","204.00","0.88","0.01","43.84","1514653.01","0.00","0.00","0.00","0.08","6.82","16.58","17.17","6.82","16.58","17.17","1188391.00"
"ancash","2022","26.91","14.19","736.67","29000000.00","0.00","0.00","0.00","0.00","98.00","209.00","197.00","98.00","143.00","156.00","2.25","1.19","61.69","2428493.43","0.00","0.00","0.00","0.00","8.21","17.50","16.50","8.21","11.97","13.06","1194156.00"
"apurimac","2012","566.37","8.51","0.07","405.50","0.00","350.00","0.00","30.00","45.00","2.00","0.00","69.00","3.00","0.00","124.93","1.88","0.01","89.45","0.00","77.20","0.00","6.62","9.93","0.44","0.00","15.22","0.66","0.00","453346.03"
"apurimac","2013","225.57","0.00","0.02","0.00","0.00","0.00","0.00","6.00","20.00","1.00","4.00","38.00","1.00","7.00","49.56","0.00","0.00","0.00","0.00","0.00","0.00","1.32","4.39","0.22","0.88","8.35","0.22","1.54","455166.70"
"apurimac","2014","201.83","260.32","0.23","0.00","0.00","1800.00","0.00","38.00","23.00","0.00","2.00","20.00","0.00","2.00","44.16","56.96","0.05","0.00","0.00","393.88","0.00","8.32","5.03","0.00","0.44","4.38","0.00","0.44","456994.68"
"apurimac","2015","103.86","2.03","0.20","1368.00","0.00","0.00","0.00","1.00","11.00","3.00","9.00","15.00","5.00","16.00","22.64","0.44","0.04","298.15","0.00","0.00","0.00","0.22","2.40","0.65","1.96","3.27","1.09","3.49","458830.00"
"apurimac","2016","639.70","163.00","11.03","0.00","0.00","0.00","0.00","3.00","41.00","6.00","8.00","57.00","5.00","13.00","138.80","35.37","2.39","0.00","0.00","0.00","0.00","0.65","8.90","1.30","1.74","12.37","1.08","2.82","460868.00"
"apurimac","2017","452.92","651.01","4.47","0.00","0.00","0.00","0.00","14.00","53.00","5.00","9.00","53.00","5.00","9.00","97.87","140.67","0.97","0.00","0.00","0.00","0.00","3.03","11.45","1.08","1.94","11.45","1.08","1.94","462791.00"
"apurimac","2018","343.74","603.64","40.47","0.00","0.00","0.00","0.00","8.00","31.00","17.00","5.00","53.00","16.00","5.00","73.99","129.93","8.71","0.00","0.00","0.00","0.00","1.72","6.67","3.66","1.08","11.41","3.44","1.08","464584.00"
"apurimac","2019","169.12","314.35","116.91","0.00","0.00","0.00","0.00","7.00","48.00","24.00","31.00","87.00","22.00","37.00","36.22","67.32","25.04","0.00","0.00","0.00","0.00","1.50","10.28","5.14","6.64","18.63","4.71","7.92","466936.00"
"apurimac","2020","18.88","139.52","101.15","0.00","0.00","0.00","0.00","2.00","25.00","45.00","31.00","32.00","47.00","35.00","4.38","32.39","23.48","0.00","0.00","0.00","0.00","0.46","5.80","10.45","7.20","7.43","10.91","8.13","430736.00"
"apurimac","2021","198.10","263.36","61.96","0.00","0.00","700.00","0.00","12.00","47.00","24.00","33.00","47.00","24.00","33.00","46.00","61.16","14.39","0.00","0.00","162.56","0.00","2.79","10.91","5.57","7.66","10.91","5.57","7.66","430609.00"
"apurimac","2022","16.39","190.19","123.24","0.00","0.00","0.00","0.00","4.00","33.00","17.00","15.00","27.00","13.00","12.00","3.81","44.26","28.68","0.00","0.00","0.00","0.00","0.93","7.68","3.96","3.49","6.28","3.03","2.79","429720.00"
"arequipa","2012","429.58","5.94","1.88","180.00","0.00","4000.00","0.00","2.00","28.00","7.00","0.00","29.00","13.00","0.00","34.49","0.48","0.15","14.45","0.00","321.14","0.00","0.16","2.25","0.56","0.00","2.33","1.04","0.00","1245570.53"
"arequipa","2013","297.00","115.17","13.94","0.00","5000.00","0.00","0.00","4.00","62.00","32.00","9.00","73.00","34.00","10.00","23.58","9.15","1.11","0.00","397.05","0.00","0.00","0.32","4.92","2.54","0.71","5.80","2.70","0.79","1259296.86"
"arequipa","2014","129.96","358.76","14.37","0.00","20850.00","428890.00","0.00","3.00","25.00","7.00","0.00","22.00","6.00","0.00","10.21","28.18","1.13","0.00","1637.64","33686.66","0.00","0.24","1.96","0.55","0.00","1.73","0.47","0.00","1273174.47"
"arequipa","2015","0.17","0.10","0.44","354.00","26.00","0.00","0.00","1.00","7.00","2.00","0.00","7.00","3.00","0.00","0.01","0.01","0.03","27.50","2.02","0.00","0.00","0.08","0.54","0.16","0.00","0.54","0.23","0.00","1287205.00"
"arequipa","2016","313.38","255.00","17.24","938208.00","0.00","840.00","19450.00","14.00","50.00","7.00","1.00","61.00","9.00","1.00","24.08","19.60","1.32","72097.86","0.00","64.55","1494.66","1.08","3.84","0.54","0.08","4.69","0.69","0.08","1301298.00"
"arequipa","2017","187.65","810.95","270.62","6382790.00","0.00","60190.00","0.00","131.00","86.00","10.00","0.00","86.00","10.00","0.00","14.26","61.64","20.57","485188.46","0.00","4575.35","0.00","9.96","6.54","0.76","0.00","6.54","0.76","0.00","1315528.00"
"arequipa","2018","65.08","259.31","304.12","5000.00","0.00","0.00","200000.00","9.00","40.00","0.00","0.00","61.00","0.00","0.00","4.89","19.50","22.87","376.00","0.00","0.00","15039.83","0.68","3.01","0.00","0.00","4.59","0.00","0.00","1329802.00"
"arequipa","2019","140.79","1340.10","658.05","7000.00","0.00","605.00","0.00","18.00","78.00","4.00","0.00","114.00","6.00","0.00","10.42","99.22","48.72","518.26","0.00","44.79","0.00","1.33","5.77","0.30","0.00","8.44","0.44","0.00","1350676.00"
"arequipa","2020","109.41","726.90","263.24","5038.20","0.00","4000.00","0.00","8.00","47.00","4.00","0.00","68.00","3.00","0.00","7.31","48.54","17.58","336.45","0.00","267.12","0.00","0.53","3.14","0.27","0.00","4.54","0.20","0.00","1497438.00"
"arequipa","2021","58.35","199.98","726.86","6121.97","14875.00","690.00","403.00","8.00","55.00","33.00","12.00","55.00","33.00","12.00","3.82","13.10","47.61","401.00","974.34","45.20","26.40","0.52","3.60","2.16","0.79","3.60","2.16","0.79","1526669.00"
"arequipa","2022","115.82","635.76","290.88","0.00","0.00","600.00","0.00","5.00","61.00","8.00","2.00","82.00","8.00","2.00","7.45","40.91","18.72","0.00","0.00","38.61","0.00","0.32","3.93","0.51","0.13","5.28","0.51","0.13","1553994.00"
"ayacucho","2012","2067.67","309.46","0.55","130099.10","406983.00","1700.00","116300.00","1602.00","251.00","2.00","2.00","199.00","3.00","1.00","310.28","46.44","0.08","19523.19","61073.48","255.11","17452.44","240.40","37.67","0.30","0.30","29.86","0.45","0.15","666382.48"
"ayacucho","2013","1514.31","700.93","0.05","110786.30","56512.00","236105.60","211150.00","641.00","212.00","2.00","5.00","170.00","2.00","5.00","224.77","104.04","0.01","16443.82","8387.98","35044.75","31340.63","95.14","31.47","0.30","0.74","25.23","0.30","0.74","673726.10"
"ayacucho","2014","2834.33","1427.82","13.29","110786.00","21999.00","58622.40","509376.00","418.00","271.00","4.00","0.00","161.00","3.00","0.00","416.11","209.62","1.95","16264.54","3229.68","8606.38","74781.70","61.37","39.79","0.59","0.00","23.64","0.44","0.00","681150.64"
"ayacucho","2015","2409.17","942.20","12.74","321120.00","333202.00","38110.00","17940.00","652.00","382.00","4.00","1.00","156.00","4.00","1.00","349.84","136.82","1.85","46629.89","48384.32","5533.96","2605.07","94.68","55.47","0.58","0.15","22.65","0.58","0.15","688657.00"
"ayacucho","2016","4627.84","4002.00","23.93","504793.00","22072.00","1255703.20","74381.00","132.00","572.00","2.00","1.00","257.00","4.00","0.00","664.77","574.87","3.44","72511.89","3170.57","180377.73","10684.59","18.96","82.17","0.29","0.14","36.92","0.57","0.00","696152.00"
"ayacucho","2017","4036.20","2470.85","198.51","172592.84","2337.00","256837.40","11950.00","16.00","437.00","1.00","1.00","437.00","1.00","1.00","573.63","351.16","28.21","24528.95","332.14","36501.82","1698.34","2.27","62.11","0.14","0.14","62.11","0.14","0.14","703629.00"
"ayacucho","2018","2378.82","3754.68","484.28","139934.23","355316.32","842473.00","97900.00","323.00","440.00","4.00","3.00","363.00","3.00","4.00","334.55","528.04","68.11","19679.72","49970.09","118481.61","13768.22","45.43","61.88","0.56","0.42","51.05","0.42","0.56","711058.00"
"ayacucho","2019","3502.56","1871.28","634.64","126926.32","515086.89","825453.00","195193.00","376.00","453.00","5.00","1.00","379.00","4.00","1.00","487.39","260.39","88.31","17662.16","71675.83","114864.17","27161.67","52.32","63.04","0.70","0.14","52.74","0.56","0.14","718634.00"
"ayacucho","2020","4842.29","2450.05","918.50","153238.60","241765.38","824886.60","21685.00","321.00","373.00","16.00","1.00","252.00","3.00","3.00","724.66","366.66","137.46","22932.60","36180.89","123446.66","3245.22","48.04","55.82","2.39","0.15","37.71","0.45","0.45","668213.00"
"ayacucho","2021","3331.87","2354.06","778.55","125726.82","805460.03","374731.30","302900.00","286.00","386.00","21.00","12.00","386.00","21.00","12.00","497.31","351.36","116.21","18765.79","120221.68","55931.80","45210.37","42.69","57.61","3.13","1.79","57.61","3.13","1.79","669979.00"
"ayacucho","2022","5029.83","3956.71","2044.48","149639.24","1106560.07","86153.00","800.00","347.00","498.00","27.00","23.00","241.00","19.00","16.00","750.07","590.04","304.88","22314.93","165015.62","12847.55","119.30","51.75","74.26","4.03","3.43","35.94","2.83","2.39","670579.00"
"cajamarca","2012","31.52","0.02","8.38","0.00","0.00","226.00","0.00","1.00","22.00","8.00","22.00","20.00","8.00","29.00","2.07","0.00","0.55","0.00","0.00","14.86","0.00","0.07","1.45","0.53","1.45","1.32","0.53","1.91","1520594.81"
"cajamarca","2013","37.58","0.54","15.90","367400.00","0.00","0.00","0.00","4.00","34.00","10.00","20.00","35.00","7.00","18.00","2.47","0.04","1.04","24113.27","0.00","0.00","0.00","0.26","2.23","0.66","1.31","2.30","0.46","1.18","1523642.10"
"cajamarca","2014","4.48","40.40","18.76","367400.00","0.00","0.00","0.00","0.00","15.00","10.00","18.00","19.00","10.00","22.00","0.29","2.65","1.23","24065.05","0.00","0.00","0.00","0.00","0.98","0.66","1.18","1.24","0.66","1.44","1526695.49"
"cajamarca","2015","119.55","31.94","6.39","689900.00","0.00","2298.50","1.00","6.00","34.00","3.00","6.00","51.00","5.00","8.00","7.81","2.09","0.42","45098.72","0.00","150.25","0.07","0.39","2.22","0.20","0.39","3.33","0.33","0.52","1529755.00"
"cajamarca","2016","108.20","0.00","41.19","630000.00","0.00","0.00","0.00","1.00","32.00","4.00","4.00","42.00","6.00","4.00","7.05","0.00","2.69","41074.91","0.00","0.00","0.00","0.07","2.09","0.26","0.26","2.74","0.39","0.26","1533783.00"
"cajamarca","2017","18.08","12.02","8.43","293900.00","0.00","0.00","0.00","23.00","34.00","10.00","16.00","34.00","10.00","16.00","1.18","0.78","0.55","19119.53","0.00","0.00","0.00","1.50","2.21","0.65","1.04","2.21","0.65","1.04","1537172.00"
"cajamarca","2018","97.10","0.06","62.86","0.00","0.00","1587.00","0.00","2.00","77.00","64.00","69.00","57.00","38.00","16.00","6.31","0.00","4.08","0.00","0.00","103.05","0.00","0.13","5.00","4.16","4.48","3.70","2.47","1.04","1540004.00"
"cajamarca","2019","37.15","22.10","31.75","11783300.00","0.00","0.00","0.00","0.00","36.00","36.00","8.00","45.00","37.00","8.00","2.41","1.43","2.06","763610.23","0.00","0.00","0.00","0.00","2.33","2.33","0.52","2.92","2.40","0.52","1543104.00"
"cajamarca","2020","36.33","0.15","19.41","0.00","0.00","0.00","0.00","0.00","36.00","24.00","7.00","44.00","26.00","9.00","2.50","0.01","1.34","0.00","0.00","0.00","0.00","0.00","2.48","1.65","0.48","3.03","1.79","0.62","1453711.00"
"cajamarca","2021","72.37","3.02","78.32","11000000.00","0.00","2945.60","0.00","2.00","46.00","59.00","11.00","46.00","59.00","11.00","4.97","0.21","5.38","755886.47","0.00","202.41","0.00","0.14","3.16","4.05","0.76","3.16","4.05","0.76","1455245.00"
"cajamarca","2022","79.46","11.42","46.05","0.00","0.00","4344.00","184.00","4.00","56.00","55.00","18.00","70.00","60.00","15.00","5.46","0.79","3.17","0.00","0.00","298.72","12.65","0.28","3.85","3.78","1.24","4.81","4.13","1.03","1454217.00"
"callao","2012","391.04","3717.56","269.76","10913.68","4107.13","200.00","94010.00","5.00","583.00","295.00","2155.00","456.00","337.00","2256.00","40.38","383.86","27.85","1126.90","424.08","20.65","9707.03","0.52","60.20","30.46","222.52","47.08","34.80","232.94","968473.06"
"callao","2013","89.34","1069.99","36.19","555233.28","2416.06","3650200.00","1714119.00","5.00","398.00","382.00","1562.00","295.00","419.00","1659.00","9.10","108.94","3.68","56528.16","245.98","371625.95","174514.03","0.51","40.52","38.89","159.03","30.03","42.66","168.90","982224.20"
"callao","2014","301.12","938.22","80.12","555233.00","0.00","596669.00","162037.00","5.00","388.00","429.00","1767.00","313.00","511.00","1831.00","30.23","94.18","8.04","55736.74","0.00","59896.27","16265.99","0.50","38.95","43.06","177.38","31.42","51.30","183.80","996170.59"
"callao","2015","573.30","1822.26","46.56","0.00","0.00","0.00","58300.00","12.00","449.00","505.00","1838.00","348.00","606.00","1923.00","56.75","180.37","4.61","0.00","0.00","0.00","5770.48","1.19","44.44","49.98","181.92","34.44","59.98","190.34","1010315.00"
"callao","2016","200.06","3288.00","111.10","534360.00","0.00","1550.00","80900.00","9.00","850.00","616.00","1570.00","870.00","782.00","1731.00","19.53","320.96","10.84","52161.23","0.00","151.30","7897.01","0.88","82.97","60.13","153.25","84.92","76.33","168.97","1024439.00"
"callao","2017","1378.56","4360.46","52.08","7037.55","0.00","15368.00","238960.00","106.00","414.00","715.00","1875.00","414.00","715.00","1875.00","132.72","419.80","5.01","677.53","0.00","1479.53","23005.55","10.21","39.86","68.84","180.51","39.86","68.84","180.51","1038706.00"
"callao","2018","107.73","4878.33","909.49","83252.14","47.00","223491.00","10080.00","23.00","350.00","359.00","696.00","381.00","893.00","1531.00","10.23","463.27","86.37","7905.97","4.46","21223.63","957.24","2.18","33.24","34.09","66.10","36.18","84.80","145.39","1053029.00"
"callao","2019","357.49","3804.21","70.54","20.00","0.00","0.00","90920.00","12.00","407.00","427.00","552.00","387.00","477.00","583.00","33.48","356.26","6.61","1.87","0.00","0.00","8514.58","1.12","38.12","39.99","51.69","36.24","44.67","54.60","1067815.00"
"callao","2020","520.17","3048.23","206.61","0.00","0.00","950.00","10000.00","19.00","330.00","477.00","430.00","362.00","665.00","641.00","46.04","269.79","18.29","0.00","0.00","84.08","885.07","1.68","29.21","42.22","38.06","32.04","58.86","56.73","1129854.00"
"callao","2021","583.19","4254.25","417.29","27800.00","0.00","5047.50","46920.00","11.00","426.00","823.00","623.00","426.00","823.00","623.00","50.65","369.46","36.24","2414.28","0.00","438.35","4074.76","0.96","37.00","71.47","54.10","37.00","71.47","54.10","1151480.00"
"callao","2022","1692.90","3287.42","121.84","0.00","0.00","10425.00","10425.00","14.00","517.00","1119.00","1170.00","362.00","727.00","474.00","144.49","280.58","10.40","0.00","0.00","889.77","889.77","1.19","44.13","95.51","99.86","30.90","62.05","40.46","1171648.00"
"cusco","2012","2469.08","62.85","0.55","13438.57","33261.00","0.00","0.00","169.00","225.00","0.00","2.00","246.00","0.00","3.00","190.36","4.85","0.04","1036.07","2564.30","0.00","0.00","13.03","17.35","0.00","0.15","18.97","0.00","0.23","1297076.66"
"cusco","2013","776.47","135.41","1.69","84063.25","0.00","520.00","6390.00","14.00","82.00","17.00","5.00","76.00","12.00","5.00","59.56","10.39","0.13","6448.57","0.00","39.89","490.18","1.07","6.29","1.30","0.38","5.83","0.92","0.38","1303594.63"
"cusco","2014","1555.70","441.87","26.73","84063.00","2143.00","11650.00","40200.00","121.00","122.00","4.00","2.00","105.00","4.00","2.00","118.74","33.73","2.04","6416.31","163.57","889.21","3068.36","9.24","9.31","0.31","0.15","8.01","0.31","0.15","1310145.35"
"cusco","2015","1757.52","521.91","21.73","224253.00","1497.00","58535.00","0.00","153.00","241.00","18.00","18.00","122.00","17.00","15.00","133.48","39.64","1.65","17031.07","113.69","4445.49","0.00","11.62","18.30","1.37","1.37","9.27","1.29","1.14","1316729.00"
"cusco","2016","1573.89","701.00","35.33","96769.00","11374.00","7722.00","0.00","25.00","221.00","18.00","11.00","168.00","16.00","10.00","118.84","52.93","2.67","7306.79","858.82","583.07","0.00","1.89","16.69","1.36","0.83","12.69","1.21","0.76","1324371.00"
"cusco","2017","1356.58","1531.26","30.78","53088.64","0.00","170.00","0.00","2.00","179.00","116.00","248.00","179.00","116.00","248.00","101.86","114.98","2.31","3986.36","0.00","12.77","0.00","0.15","13.44","8.71","18.62","13.44","8.71","18.62","1331758.00"
"cusco","2018","2310.24","872.85","50.36","92587.40","248604.50","16863.55","51110.00","152.00","221.00","26.00","31.00","262.00","103.00","168.00","172.55","65.19","3.76","6915.19","18567.84","1259.51","3817.32","11.35","16.51","1.94","2.32","19.57","7.69","12.55","1338898.00"
"cusco","2019","2311.05","1866.53","21.55","39400.88","303121.60","185120.00","24000.00","172.00","260.00","50.00","21.00","207.00","49.00","24.00","171.65","138.63","1.60","2926.45","22513.94","13749.53","1782.57","12.78","19.31","3.71","1.56","15.37","3.64","1.78","1346373.00"
"cusco","2020","4032.17","2246.36","57.99","57108.90","32648.00","1269549.00","0.00","133.00","140.00","43.00","14.00","132.00","50.00","14.00","297.12","165.53","4.27","4208.23","2405.76","93550.39","0.00","9.80","10.32","3.17","1.03","9.73","3.68","1.03","1357075.00"
"cusco","2021","5151.98","2174.65","60.75","81125.83","233720.26","426112.00","70000.00","158.00","204.00","38.00","9.00","204.00","38.00","9.00","376.08","158.74","4.43","5921.89","17060.72","31104.61","5109.74","11.53","14.89","2.77","0.66","14.89","2.77","0.66","1369932.00"
"cusco","2022","1535.12","1859.47","91.47","24199.55","39879.00","188823.00","0.00","120.00","165.00","40.00","20.00","108.00","30.00","12.00","111.19","134.69","6.63","1752.84","2888.54","13676.94","0.00","8.69","11.95","2.90","1.45","7.82","2.17","0.87","1380594.00"
"huancavelica","2012","45.58","14.60","0.00","90000.00","0.00","2881.00","0.00","2.00","10.00","0.00","0.00","10.00","0.00","0.00","9.41","3.01","0.00","18570.43","0.00","594.46","0.00","0.41","2.06","0.00","0.00","2.06","0.00","0.00","484641.37"
"huancavelica","2013","0.00","0.00","0.01","1430.00","2000.00","1400.00","1000.00","4.00","3.00","0.00","1.00","0.00","0.00","1.00","0.00","0.00","0.00","293.00","409.79","286.85","204.89","0.82","0.61","0.00","0.20","0.00","0.00","0.20","488057.77"
"huancavelica","2014","15.02","5.98","0.00","1430.00","0.00","0.00","0.00","8.00","7.00","0.00","0.00","1.00","0.00","0.00","3.06","1.22","0.00","290.95","0.00","0.00","0.00","1.63","1.42","0.00","0.00","0.20","0.00","0.00","491498.26"
"huancavelica","2015","4.68","268.47","0.02","1122.00","0.00","0.00","0.00","3.00","5.00","1.00","0.00","2.00","3.00","0.00","0.95","54.24","0.00","226.68","0.00","0.00","0.00","0.61","1.01","0.20","0.00","0.40","0.61","0.00","494963.00"
"huancavelica","2016","40.97","32.00","0.04","65419.00","0.00","72950.00","0.00","8.00","12.00","1.00","0.00","6.00","1.00","0.00","8.22","6.42","0.01","13121.70","0.00","14632.26","0.00","1.60","2.41","0.20","0.00","1.20","0.20","0.00","498556.00"
"huancavelica","2017","23.71","22.01","32.04","80831.63","0.00","0.00","0.00","26.00","31.00","4.00","2.00","31.00","4.00","2.00","4.72","4.38","6.38","16099.22","0.00","0.00","0.00","5.18","6.17","0.80","0.40","6.17","0.80","0.40","502084.00"
"huancavelica","2018","1.05","79.81","31.36","40345.35","36116.00","0.00","0.00","26.00","15.00","0.00","1.00","18.00","3.00","2.00","0.21","15.79","6.20","7981.31","7144.64","0.00","0.00","5.14","2.97","0.00","0.20","3.56","0.59","0.40","505498.00"
"huancavelica","2019","24.11","180.58","66.26","4014.89","0.00","9300.00","0.00","3.00","14.00","0.00","0.00","14.00","0.00","0.00","4.74","35.47","13.02","788.60","0.00","1826.69","0.00","0.59","2.75","0.00","0.00","2.75","0.00","0.00","509117.00"
"huancavelica","2020","4.03","35.12","8.69","0.00","0.00","0.00","0.00","13.00","6.00","8.00","1.00","8.00","8.00","1.00","1.10","9.61","2.38","0.00","0.00","0.00","0.00","3.56","1.64","2.19","0.27","2.19","2.19","0.27","365317.00"
"huancavelica","2021","0.05","84.31","8.15","0.00","0.00","0.00","0.00","3.00","11.00","6.00","1.00","11.00","6.00","1.00","0.01","23.53","2.27","0.00","0.00","0.00","0.00","0.84","3.07","1.67","0.28","3.07","1.67","0.28","358356.00"
"huancavelica","2022","91.14","21.16","4.05","13101.29","33150.00","1100.00","0.00","5.00","12.00","12.00","7.00","15.00","6.00","6.00","25.98","6.03","1.15","3734.21","9448.62","313.53","0.00","1.43","3.42","3.42","2.00","4.28","1.71","1.71","350845.00"
"huanuco","2012","1482.82","830.98","811.61","262742.17","48340.18","7986.60","16530.00","825.00","556.00","25.00","42.00","132.00","26.00","66.00","175.98","98.62","96.32","31182.61","5737.08","947.86","1961.80","97.91","65.99","2.97","4.98","15.67","3.09","7.83","842591.93"
"huanuco","2013","1451.13","1104.20","414.15","0.00","0.00","72710.90","19870.00","855.00","692.00","33.00","24.00","184.00","13.00","20.00","171.02","130.13","48.81","0.00","0.00","8569.03","2341.69","100.76","81.55","3.89","2.83","21.68","1.53","2.36","848531.65"
"huanuco","2014","880.42","888.52","1534.33","0.00","18996.00","3632.50","0.00","383.00","634.00","52.00","39.00","194.00","31.00","45.00","103.03","103.98","179.56","0.00","2223.02","425.10","0.00","44.82","74.19","6.09","4.56","22.70","3.63","5.27","854513.24"
"huanuco","2015","500.52","301.54","1786.81","201423.00","8914.00","139717.70","2.00","404.00","774.00","37.00","62.00","138.00","25.00","48.00","58.16","35.04","207.64","23406.66","1035.86","16236.11","0.23","46.95","89.94","4.30","7.20","16.04","2.91","5.58","860537.00"
"huanuco","2016","414.27","159.00","2475.63","141418.00","19702.00","7947.00","7500.00","59.00","693.00","56.00","67.00","196.00","39.00","65.00","47.80","18.35","285.66","16318.13","2273.40","917.00","865.42","6.81","79.96","6.46","7.73","22.62","4.50","7.50","866631.00"
"huanuco","2017","723.31","271.17","5372.39","328680.47","0.00","150.00","0.00","121.00","662.00","39.00","34.00","662.00","39.00","34.00","82.90","31.08","615.73","37670.12","0.00","17.19","0.00","13.87","75.87","4.47","3.90","75.87","4.47","3.90","872523.00"
